7	0.2094
17	0.2111
27	0.2126
37	0.2143
47	0.2157
57	0.2172
67	0.2187
77	0.2202
87	0.2217
97	0.223
107	0.2243
117	0.2258
127	0.2272
137	0.2286
147	0.2301
157	0.2314
167	0.2326
177	0.2337
187	0.2351
197	0.2365
207	0.2378
217	0.2389
227	0.2401
237	0.2414
247	0.2422
257	0.2434
267	0.2445
277	0.2456
287	0.2468
297	0.2476
307	0.2485
317	0.2496
327	0.2504
337	0.2513
347	0.2522
357	0.2532
367	0.2539
377	0.2549
387	0.2557
397	0.2564
407	0.257
417	0.2578
427	0.2583
437	0.259
447	0.2597
457	0.2606
467	0.2611
477	0.2616
487	0.2622
497	0.2627
507	0.2636
517	0.2639
527	0.2642
537	0.265
547	0.2654
557	0.266
567	0.2665
577	0.2667
587	0.2672
597	0.2676
607	0.2679
617	0.2682
627	0.2687
637	0.269
647	0.2693
657	0.2695
667	0.2699
677	0.2702
687	0.2706
697	0.2708
707	0.271
717	0.2711
727	0.2714
737	0.2716
747	0.2719
757	0.272
767	0.2723
777	0.2726
787	0.2727
797	0.2728
807	0.273
817	0.2731
827	0.2732
837	0.2733
847	0.2736
857	0.2738
867	0.2738
877	0.2738
887	0.2739
897	0.2741
907	0.2741
917	0.2744
927	0.2744
937	0.2745
947	0.2746
957	0.2747
967	0.2748
977	0.2749
987	0.2748
997	0.2751
1007	0.2751
1017	0.2752
1027	0.2751
1037	0.2754
1047	0.275
1057	0.2754
1067	0.2753
1077	0.2755
1087	0.2756
1097	0.2753
1107	0.2755
1117	0.2754
1127	0.2756
1137	0.2755
1147	0.2755
1157	0.2756
1167	0.2757
1177	0.2755
1187	0.2757
1197	0.2757
1207	0.2758
1217	0.2759
1227	0.2758
1237	0.2759
1247	0.2756
1257	0.276
1267	0.2756
1277	0.2756
1287	0.2757
1297	0.2756
1307	0.2758
1317	0.2759
1327	0.2759
1337	0.2758
1347	0.2757
1357	0.2758
1367	0.276
1377	0.2759
1387	0.2757
1397	0.2758
1407	0.2758
1417	0.276
1427	0.2758
1437	0.2758
1447	0.2759
1457	0.276
1467	0.2759
1477	0.2758
1487	0.2756
1497	0.2758
1507	0.2758
1517	0.2757
1527	0.276
1537	0.2758
1547	0.2758
1557	0.2758
1567	0.2757
1577	0.2757
1587	0.2759
1597	0.2757
1607	0.2758
1617	0.2756
1627	0.2757
1637	0.2758
1647	0.2758
1657	0.2757
1667	0.2759
1677	0.2757
1687	0.2758
